,KODE_KANTOR,KANTOR_CABANG,KODE_KANWIL,KANWIL,KODE_PPK,NAMA_PPK,ALAMAT_PPK,KODE_POS_PPK,TELEPON_AREA_PPK,TELEPON_PPK,CONTACT_PERSON,TELEPON_PEMILIK,TELEPON_EXT_PEMILIK,NO_PPK,JENIS_FASKES,TGL_PPK,STATUS,ADDRESS,location,point,latitude,longitude
69,K15,BANDUNG LODAYA,K15,KANWIL JAWA BARAT,PPK-342599,PUSKESMAS KERTASARI,JL. LAPANG SARI RT 01/18 DS. CIBEREUM,,,081394207325,081394207325,0225897521,0225897521,7-8817941396,KLINIK TC,,AKTIF,"PUSKESMAS KERTASARI,BANDUNG,INDONESIA",,"(0.0, 0.0, 0.0)",0.0,0.0
70,K15,BANDUNG LODAYA,K15,KANWIL JAWA BARAT,PPK-342610,PUSKESMAS PANCA,JLN. SALAWI NO 23 RT 03/04 NAGRAK,,,087821953369,,0225897521,0225897521,7-8817621195,KLINIK TC,,AKTIF,"PUSKESMAS PANCA,BANDUNG,INDONESIA",,"(0.0, 0.0, 0.0)",0.0,0.0
71,K12,BANDUNG SOEKARNO HATTA,K12,KANWIL JAWA BARAT,PPK-342629,PUSKESMAS WANGISAGARA,JL RAYA WANGISAGARA MAJALAYA,,,,,,,7-8817502762,KLINIK TC,,AKTIF,"PUSKESMAS WANGISAGARA,BANDUNG,INDONESIA",,"(0.0, 0.0, 0.0)",0.0,0.0
72,K12,BANDUNG SOEKARNO HATTA,K12,KANWIL JAWA BARAT,PPK-342573,PUSKESMAS CIKARO,JL KESEHATAN RT03/03 MAJAKERTA,,,,,,,7-8817166108,KLINIK TC,,AKTIF,"PUSKESMAS CIKARO,BANDUNG,INDONESIA",,"(0.0, 0.0, 0.0)",0.0,0.0
73,K12,BANDUNG SOEKARNO HATTA,K12,KANWIL JAWA BARAT,PPK-342622,PUSKESMAS PADAMUKTI,KP LEMBANG BAGUS RT01/09,,,,,,,7-8817166104,KLINIK TC,,AKTIF,"PUSKESMAS PADAMUKTI,BANDUNG,INDONESIA",,"(0.0, 0.0, 0.0)",0.0,0.0
74,K12,BANDUNG SOEKARNO HATTA,K12,KANWIL JAWA BARAT,PPK-342623,PUSKESMAS SOLOKAN JERUK,JL RHA KOSASIH RT02/09,,,,,,,7-8817166102,KLINIK TC,,AKTIF,"PUSKESMAS SOLOKAN JERUK,BANDUNG,INDONESIA",,"(0.0, 0.0, 0.0)",0.0,0.0
75,K12,BANDUNG SOEKARNO HATTA,K12,KANWIL JAWA BARAT,PPK-342577,PUSKESMAS CIPEDES,JL JATISARI NO.4 PASEH,,,,,,,7-8816916190,KLINIK TC,,AKTIF,"PUSKESMAS CIPEDES,BANDUNG,INDONESIA","Puskesmas, Jalan Kebon Bibit Utara, Lebak Siliwangi, Jawa Barat, 40131, Indonesia","(-6.8970637, 107.6072151, 0.0)",-6.8970637,107.6072151
76,K12,BANDUNG SOEKARNO HATTA,K12,KANWIL JAWA BARAT,PPK-342579,PUSKESMAS SUDI,MAJALAYA SUDI NO.1 RT02/08,,,,,,,7-8816916186,KLINIK TC,,AKTIF,"PUSKESMAS SUDI,BANDUNG,INDONESIA",,"(0.0, 0.0, 0.0)",0.0,0.0
77,K15,BANDUNG LODAYA,K15,KANWIL JAWA BARAT,PPK-342597,PUSKESMAS JELEKONG,JL. RAYA LASWI SANGKIRING NO.705 DS. WARGA MEKAR,,22.0,02285961120,,0225897521,0225897521,7-8817027123,KLINIK TC,,AKTIF,"PUSKESMAS JELEKONG,BANDUNG,INDONESIA",,"(0.0, 0.0, 0.0)",0.0,0.0
78,K12,BANDUNG SOEKARNO HATTA,K12,KANWIL JAWA BARAT,PPK-342578,PUSKESMAS IBUN,JL OMA ANGGAWISASTRA NO.3,,,,,,,7-8816916184,KLINIK TC,,AKTIF,"PUSKESMAS IBUN,BANDUNG,INDONESIA",,"(0.0, 0.0, 0.0)",0.0,0.0
79,K12,BANDUNG SOEKARNO HATTA,K12,KANWIL JAWA BARAT,PPK-342621,PUSKESMAS SAWAH LEGA,DS NAGROS CICALENGKA,,,,,,,7-8816645605,KLINIK TC,,AKTIF,"PUSKESMAS SAWAH LEGA,BANDUNG,INDONESIA",,"(0.0, 0.0, 0.0)",0.0,0.0
80,K15,BANDUNG LODAYA,K15,KANWIL JAWA BARAT,PPK-342616,PUSKESMAS RANCAMANYAR,BOJONGKONENG DS. RANCAMANYAR,,22.0,085220597027,,0225897521,0225897521,7-8816688082,KLINIK TC,,AKTIF,"PUSKESMAS RANCAMANYAR,BANDUNG,INDONESIA",,"(0.0, 0.0, 0.0)",0.0,0.0
81,K12,BANDUNG SOEKARNO HATTA,K12,KANWIL JAWA BARAT,PPK-342572,PUSKESMAS CICALENGKA,JL RAYA CICALENGKA NO.321,,,,,,,7-8816645603,KLINIK TC,,AKTIF,"PUSKESMAS CICALENGKA,BANDUNG,INDONESIA",,"(0.0, 0.0, 0.0)",0.0,0.0
82,K12,BANDUNG SOEKARNO HATTA,K12,KANWIL JAWA BARAT,PPK-342628,PUSKESMAS NAGREG,JL RAYA NAGREG KM 37,,,,,,,7-8816645601,KLINIK TC,,AKTIF,"PUSKESMAS NAGREG,BANDUNG,INDONESIA",,"(0.0, 0.0, 0.0)",0.0,0.0
83,K15,BANDUNG LODAYA,K15,KANWIL JAWA BARAT,PPK-342584,PUSKESMAS BALEENDAH,JL. RAYA PACET KP. CIPAKU RT 01/20 DS. PAKUTANDANG,,22.0,0225942106,,0225897521,0225897521,7-8816599071,KLINIK TC,,AKTIF,"PUSKESMAS BALEENDAH,BANDUNG,INDONESIA",,"(0.0, 0.0, 0.0)",0.0,0.0
84,K12,BANDUNG SOEKARNO HATTA,K12,KANWIL JAWA BARAT,PPK-342575,PUSKESMAS CILULUK,JL RAYA CIJAPATI CILULUK NO 78,,,,,,,7-8816316219,KLINIK TC,,AKTIF,"PUSKESMAS CILULUK,BANDUNG,INDONESIA",,"(0.0, 0.0, 0.0)",0.0,0.0
85,K12,BANDUNG SOEKARNO HATTA,K12,KANWIL JAWA BARAT,PPK-342580,PUSKESMAS CIKANCUNG,JL CIKANCUNG DS MANDALASARI,,,,,,,7-8816316217,KLINIK TC,,AKTIF,"PUSKESMAS CIKANCUNG,BANDUNG,INDONESIA",,"(0.0, 0.0, 0.0)",0.0,0.0
86,K15,BANDUNG LODAYA,K15,KANWIL JAWA BARAT,PPK-342607,PUSKESMAS PAKUTANDANG,JL. RAYA PACET KP. CIPAKU RT 01/20 DS. PAKUTANDANG,,22.0,02270777843,,0225897521,0225897521,7-8816392740,KLINIK TC,,AKTIF,"PUSKESMAS PAKUTANDANG,BANDUNG,INDONESIA",,"(0.0, 0.0, 0.0)",0.0,0.0
87,K12,BANDUNG SOEKARNO HATTA,K12,KANWIL JAWA BARAT,PPK-342624,PUSKESMAS NANJUNG MEKAR,JL RAYA BANDUNG GARUT NO.54 KM26.5,,,,,,,7-8816316215,KLINIK TC,,AKTIF,"PUSKESMAS NANJUNG MEKAR,BANDUNG,INDONESIA",,"(0.0, 0.0, 0.0)",0.0,0.0
88,K12,BANDUNG SOEKARNO HATTA,K12,KANWIL JAWA BARAT,PPK-342625,PUSKESMAS LINGGAR,JL CIKIJING RT06/10 DS LINGGAR,,,,,,,7-8816316213,KLINIK TC,,AKTIF,"PUSKESMAS LINGGAR,BANDUNG,INDONESIA",,"(0.0, 0.0, 0.0)",0.0,0.0
89,K15,BANDUNG LODAYA,K15,KANWIL JAWA BARAT,PPK-342582,PUSKESMAS  SUMBERSARI,JL. RAYA SAPAN NO. 74 KEC. CIPARAY,,22.0,02270817475,,0225897521,0225897521,7-8816303819,KLINIK TC,,AKTIF,"PUSKESMAS  SUMBERSARI,BANDUNG,INDONESIA",,"(0.0, 0.0, 0.0)",0.0,0.0
90,K12,BANDUNG SOEKARNO HATTA,K12,KANWIL JAWA BARAT,PPK-342626,PUSKESMAS RANCAEKEK,JL RAYA RANCAEKEK NO.79,,,,,,,7-8816316211,KLINIK TC,,AKTIF,"PUSKESMAS RANCAEKEK,BANDUNG,INDONESIA",,"(0.0, 0.0, 0.0)",0.0,0.0
91,K12,BANDUNG SOEKARNO HATTA,K12,KANWIL JAWA BARAT,PPK-342581,PUSKESMAS CILENGKRANG,JL MOCH YUSUF NO.10,,,,,,,7-8816065699,KLINIK TC,,AKTIF,"PUSKESMAS CILENGKRANG,BANDUNG,INDONESIA",,"(0.0, 0.0, 0.0)",0.0,0.0
92,K12,BANDUNG SOEKARNO HATTA,K12,KANWIL JAWA BARAT,PPK-342571,PUSKESMAS CIBIRU HILIR,KAV. MEKAR BIRU RT03/07 CIBIRU,,,,,,,7-8816065697,KLINIK TC,,AKTIF,"PUSKESMAS CIBIRU HILIR,BANDUNG,INDONESIA",,"(0.0, 0.0, 0.0)",0.0,0.0
93,K12,BANDUNG SOEKARNO HATTA,K12,KANWIL JAWA BARAT,PPK-342576,PUSKESMAS CINUNUK,JL RAYA CINUNUK CILEUNYI NO.175,,,,,,,7-8816065695,KLINIK TC,,AKTIF,"PUSKESMAS CINUNUK,BANDUNG,INDONESIA",,"(0.0, 0.0, 0.0)",0.0,0.0
94,K12,BANDUNG SOEKARNO HATTA,K12,KANWIL JAWA BARAT,PPK-342574,PUSKESMAS CILEUNYI,JL RAYA CILEUNYI KM 18 DS CILEUNYI,,,,,,,7-8816065693,KLINIK TC,,AKTIF,"PUSKESMAS CILEUNYI,BANDUNG,INDONESIA",,"(0.0, 0.0, 0.0)",0.0,0.0
95,K15,BANDUNG LODAYA,K15,KANWIL JAWA BARAT,PPK-342594,PUSKESMAS CIPARAY,JL. RAYA LASWI NO. 819 DS. MANGUNHARJA KEC. CIPARAY,,22.0,0225950976,,0225897521,0225897521,7-8815864728,KLINIK TC,,AKTIF,"PUSKESMAS CIPARAY,BANDUNG,INDONESIA",,"(0.0, 0.0, 0.0)",0.0,0.0
96,K15,BANDUNG LODAYA,K15,KANWIL JAWA BARAT,PPK-342589,PUSKESMAS CIMAUNG,JL. GUNUNG PUNTANG KM 28 KAB BANDUNG,,22.0,0222040803,,0225897521,0225897521,7-8815778157,KLINIK TC,,AKTIF,"PUSKESMAS CIMAUNG,BANDUNG,INDONESIA",,"(0.0, 0.0, 0.0)",0.0,0.0
97,K15,BANDUNG LODAYA,K15,KANWIL JAWA BARAT,PPK-342592,PUSKESMAS CIKALONG,JL. RAYA PANGALENGAN NO.91 DS. CIKALONG,,22.0,0225973086,,0225897521,0225897521,7-8815723066,KLINIK TC,,AKTIF,"PUSKESMAS CIKALONG,BANDUNG,INDONESIA",,"(0.0, 0.0, 0.0)",0.0,0.0
98,K15,BANDUNG LODAYA,K15,KANWIL JAWA BARAT,PPK-342620,PUSKESMAS WARNASARI,JL. RAYA SITU CILEUNCA DS. WARNASARI,,22.0,02270849186,,0225897521,0225897521,7-8815620654,KLINIK TC,,AKTIF,"PUSKESMAS WARNASARI,BANDUNG,INDONESIA",,"(0.0, 0.0, 0.0)",0.0,0.0
99,K15,BANDUNG LODAYA,K15,KANWIL JAWA BARAT,PPK-342611,PUSKESMAS PANGALENGAN,JL. ALUN-ALUN PANGALENGAN,,22.0,0225979403,,0225897521,0225897521,7-8815504573,KLINIK TC,,AKTIF,"PUSKESMAS PANGALENGAN,BANDUNG,INDONESIA",,"(0.0, 0.0, 0.0)",0.0,0.0
100,K15,BANDUNG LODAYA,K15,KANWIL JAWA BARAT,PPK-342605,PUSKESMAS NAGRAK,KP. SINGKUR RT 01/06 CANGKUANG DS. JATISARI,,22.0,02285962177,,0225897521,0225897521,7-8814953395,KLINIK TC,,AKTIF,"PUSKESMAS NAGRAK,BANDUNG,INDONESIA",,"(0.0, 0.0, 0.0)",0.0,0.0
101,K15,BANDUNG LODAYA,K15,KANWIL JAWA BARAT,PPK-342600,PUSKESMAS KIANGROKE,JL. RAYA PANGALENGAN KEC. BANJARAN,,22.0,0225945150,,0225897521,0225897521,7-8814874454,KLINIK TC,,AKTIF,"PUSKESMAS KIANGROKE,BANDUNG,INDONESIA",,"(0.0, 0.0, 0.0)",0.0,0.0
102,K15,BANDUNG LODAYA,K15,KANWIL JAWA BARAT,PPK-342585,PUSKESMAS BANJARAN KOTA,JL. PAJAGALAN NO. 18,,22.0,0225940017,,0225897521,0225897521,7-8814703763,KLINIK TC,,AKTIF,"PUSKESMAS BANJARAN KOTA,BANDUNG,INDONESIA",,"(0.0, 0.0, 0.0)",0.0,0.0
103,K15,BANDUNG LODAYA,K15,KANWIL JAWA BARAT,PPK-342609,PUSKESMAS PAMEUNGPEUK,JL RAYA BANJARAN KM.14 DS. SUKASARI,,22.0,02285960264,,0225897521,0225897521,7-8814516942,KLINIK TC,,AKTIF,"PUSKESMAS PAMEUNGPEUK,BANDUNG,INDONESIA",,"(0.0, 0.0, 0.0)",0.0,0.0
104,K15,BANDUNG LODAYA,K15,KANWIL JAWA BARAT,PPK-342586,PUSKESMAS BANJARAN DTP,JL. RAYA BANJARAN NO. 495,,22.0,0225940017,,0225897521,0225897521,7-8814431311,KLINIK TC,,AKTIF,"PUSKESMAS BANJARAN DTP,BANDUNG,INDONESIA",,"(0.0, 0.0, 0.0)",0.0,0.0
105,K15,BANDUNG LODAYA,K15,KANWIL JAWA BARAT,PPK-342583,PUSKESMAS ARJASARI,JL. RAYA ARJASARI NO. 02,,22.0,0225941133,,0225897521,0225897521,7-8813967230,KLINIK TC,,AKTIF,"PUSKESMAS ARJASARI,BANDUNG,INDONESIA",,"(0.0, 0.0, 0.0)",0.0,0.0
106,K15,BANDUNG LODAYA,K15,KANWIL JAWA BARAT,PPK-342613,PUSKESMAS RAHAYU,JL. SADANG NO. 4 DS. RAHAYU KEC. MARGAASIH,,22.0,022-5411512,,0225897521,0225897521,7-8813814799,KLINIK TC,,AKTIF,"PUSKESMAS RAHAYU,BANDUNG,INDONESIA","Jalan Puskesmas, Bandung, Jawa Barat, 40235, Indonesia","(-6.9394064, 107.604762, 0.0)",-6.9394064,107.604762
107,K15,BANDUNG LODAYA,K15,KANWIL JAWA BARAT,PPK-342603,PUSKESMAS MARGAASIH,JL. RANCAMALANG RT05/16 MARGAASIH,,22.0,0226672801,,0225897521,0225897521,7-8813599368,KLINIK TC,,AKTIF,"PUSKESMAS MARGAASIH,BANDUNG,INDONESIA",,"(0.0, 0.0, 0.0)",0.0,0.0
108,K15,BANDUNG LODAYA,K15,KANWIL JAWA BARAT,PPK-342618,PUSKESMAS SANGKAN HURIP,JL. PASANTREN RT 03/06 DS. SUKAMUKTI,,22.0,0229234250,,0225897521,0225897521,7-8813474597,KLINIK TC,,AKTIF,"PUSKESMAS SANGKAN HURIP,BANDUNG,INDONESIA",,"(0.0, 0.0, 0.0)",0.0,0.0
109,K15,BANDUNG LODAYA,K15,KANWIL JAWA BARAT,PPK-342598,PUSKESMAS KATAPANG,JL. TERUSAN KOPO KM 13.5 NO. 20 DS. PANGAUBAN,,22.0,0225891895,,0225897521,0225897521,7-8813371676,KLINIK TC,,AKTIF,"PUSKESMAS KATAPANG,BANDUNG,INDONESIA",,"(0.0, 0.0, 0.0)",0.0,0.0
110,K15,BANDUNG LODAYA,K15,KANWIL JAWA BARAT,PPK-342587,PUSKESMAS BIHBUL,JL. TERUSAN KOPO NO. 14 DS. MARGAHAYU TENGAH,,22.0,0225401971,,0225897521,0225897521,7-8813265605,KLINIK TC,,AKTIF,"PUSKESMAS BIHBUL,BANDUNG,INDONESIA",,"(0.0, 0.0, 0.0)",0.0,0.0
111,K15,BANDUNG LODAYA,K15,KANWIL JAWA BARAT,PPK-342604,PUSKESMAS MARGAHAYU,KOMP. MARGAHAYU KENC.   BLOK E.4,,22.0,0225418834,,0225897521,0225897521,7-8813145234,KLINIK TC,,AKTIF,"PUSKESMAS MARGAHAYU,BANDUNG,INDONESIA",,"(0.0, 0.0, 0.0)",0.0,0.0
112,K15,BANDUNG LODAYA,K15,KANWIL JAWA BARAT,PPK-342590,PUSKESMAS CANGKUANG,JL. RAYA PALASARI NO DS CANGKUANG KULON,,22.0,0225430136,,0225897521,0225897521,7-8812635423,KLINIK TC,,AKTIF,"PUSKESMAS CANGKUANG,BANDUNG,INDONESIA","Puskesmas Sukaraja, Jalan Otista, Tarogong, Jawa Barat, 44152, Indonesia","(-7.1532292, 107.90122519430797, 0.0)",-7.1532292,107.90122519430797
113,K15,BANDUNG LODAYA,K15,KANWIL JAWA BARAT,PPK-342596,PUSKESMAS DAYEUHKOLOT,JL RAYA DAYEUH KOLOT  NO. 423 KEC. DAYEUHKOLOT,,22.0,0225223805,,0225897521,0225897521,7-8812386272,KLINIK TC,,AKTIF,"PUSKESMAS DAYEUHKOLOT,BANDUNG,INDONESIA","Puskesmas Dayeuhkolot, Jalan Raya Dayeuhkolot, Dayeuhkolot, Jawa Barat, 40288, Indonesia","(-6.98968265, 107.62734875, 0.0)",-6.98968265,107.62734875
114,K15,BANDUNG LODAYA,K15,KANWIL JAWA BARAT,PPK-342614,PUSKESMAS RANCABALI,JL.TAMAN UNYIL DS. ALAM ENDAH NO. 7,,22.0,0225927075,,0225897521,0225897521,7-8812275661,KLINIK TC,,AKTIF,"PUSKESMAS RANCABALI,BANDUNG,INDONESIA",,"(0.0, 0.0, 0.0)",0.0,0.0
115,K15,BANDUNG LODAYA,K15,KANWIL JAWA BARAT,PPK-342617,PUSKESMAS RAWABOGO,JL.SIMPANG III RT 01/11 DS.RAWABOGO,,22.0,0225928854,,0225897521,0225897521,7-8812021600,KLINIK TC,,AKTIF,"PUSKESMAS RAWABOGO,BANDUNG,INDONESIA",,"(0.0, 0.0, 0.0)",0.0,0.0
116,K15,BANDUNG LODAYA,K15,KANWIL JAWA BARAT,PPK-342595,PUSKESMAS CIWIDEY,JL.BABAKAN TIGA NO.61 DS CIWIDEY,,22.0,0225928118,,0225897521,0225897521,7-8811080829,KLINIK TC,,AKTIF,"PUSKESMAS CIWIDEY,BANDUNG,INDONESIA",,"(0.0, 0.0, 0.0)",0.0,0.0
117,K15,BANDUNG LODAYA,K15,KANWIL JAWA BARAT,PPK-342615,PUSKESMAS SUGIHMUKTI,KP.MUARA RT 03/10 DS.SUGIHMUKTI,,,,,0225897521,0225897521,7-8808519216,KLINIK TC,,AKTIF,"PUSKESMAS SUGIHMUKTI,BANDUNG,INDONESIA",,"(0.0, 0.0, 0.0)",0.0,0.0
118,K15,BANDUNG LODAYA,K15,KANWIL JAWA BARAT,PPK-342612,PUSKESMAS PASIR JAMBU,JL.STASION CISONDAR NO.1 DS.PASIRJAMBU,,22.0,0225928103,,0225897521,0225897521,7-8808518855,KLINIK TC,,AKTIF,"PUSKESMAS PASIR JAMBU,BANDUNG,INDONESIA",,"(0.0, 0.0, 0.0)",0.0,0.0
119,K15,BANDUNG LODAYA,K15,KANWIL JAWA BARAT,PPK-342601,PUSKESMAS KOPO,JL. RAYA SOREANG-CIPATIK NO.79 DS KOPO,,,0225891833,,0225897521,0225897521,7-8808465994,KLINIK TC,,AKTIF,"PUSKESMAS KOPO,BANDUNG,INDONESIA","Jalan Puskesmas, Bandung, Jawa Barat, 40235, Indonesia","(-6.9394064, 107.604762, 0.0)",-6.9394064,107.604762
120,K15,BANDUNG LODAYA,K15,KANWIL JAWA BARAT,PPK-342602,PUSKESMAS KUTAWARINGIN,JL.RAYA SOREANG-CIPATIK KM- 5,,22.0,0225880077,,0225897521,0225897521,7-8808373433,KLINIK TC,,AKTIF,"PUSKESMAS KUTAWARINGIN,BANDUNG,INDONESIA",,"(0.0, 0.0, 0.0)",0.0,0.0
121,K15,BANDUNG LODAYA,K15,KANWIL JAWA BARAT,PPK-342541,PUSKESMAS SOREANG,JL. BANJARAN SOREANG KM -3 SOREANG,,22.0,0225897420,,,,7-8802475063,KLINIK TC,,AKTIF,"PUSKESMAS SOREANG,BANDUNG,INDONESIA",,"(0.0, 0.0, 0.0)",0.0,0.0
122,K12,BANDUNG SOEKARNO HATTA,K12,KANWIL JAWA BARAT,PPK-342491,KLINIK IBNU SINA,JL RANCAEKEK MAJALAYA RT03/08 SOLOKAN JERUK,,22.0,,085210139624,,,7-8637557071,KLINIK TC,,AKTIF,"KLINIK IBNU SINA,BANDUNG,INDONESIA",,"(0.0, 0.0, 0.0)",0.0,0.0
123,K12,BANDUNG SOEKARNO HATTA,K12,KANWIL JAWA BARAT,PPK-342492,KLINIK RANCAJIGANG MEDIKA,JL RANCAJIGANG NO.196 MAJALAYA,,22.0,85960668,082126305205,0811222589,0811222589,7-8636928850,KLINIK TC,,AKTIF,"KLINIK RANCAJIGANG MEDIKA,BANDUNG,INDONESIA",,"(0.0, 0.0, 0.0)",0.0,0.0
124,K00,BANDUNG SUCI ,K00,KANWIL JAWA BARAT,PPK-342386,BLK BANDUNG,"JL. GATOT SUBROTO NO. 170, BANDUNG,",,,,087871163910,,,7-8554704618,BLK / TRAINING CENTRE,03/Jul/2017 00:00:00,AKTIF,"BLK BANDUNG,BANDUNG,INDONESIA","Taman Monumen KTT Non Blok, Bandung, Jawa Barat, Indonesia","(-6.9073658, 107.5925633542042, 0.0)",-6.9073658,107.5925633542042
125,K00,BANDUNG SUCI ,K00,KANWIL JAWA BARAT,PPK-332347,KLINIK MITRA MEDIKA PADALARANG,"JL. RAYA SITU SAEUR PAMUCATAN NO.128A PADALARANG, KAB. BANDUNG BARAT",,,,08122041086,,,7-8092385033,KLINIK TC,15/May/2017 00:00:00,AKTIF,"KLINIK MITRA MEDIKA PADALARANG,BANDUNG,INDONESIA",,"(0.0, 0.0, 0.0)",0.0,0.0
126,K00,BANDUNG SUCI ,K00,KANWIL JAWA BARAT,PPK-332346,KLINIK PRATAMA MITRA MEDIKA CIMAREME,JL. RAYA CIMAREME NO.333B PADALARANG ¿ KAB. BANDUNG BARAT,,,,085100352730,085100352730,085100352730,7-7593258981,KLINIK TC,15/May/2017 00:00:00,AKTIF,"KLINIK PRATAMA MITRA MEDIKA CIMAREME,BANDUNG,INDONESIA",,"(0.0, 0.0, 0.0)",0.0,0.0
127,K00,BANDUNG SUCI ,K00,KANWIL JAWA BARAT,PPK-332114,KLINIK PRATAMA DWIPAPURI,"JL. RAYA RANCAEKEK KM 24, 56 KAB. SUMEDANG",,,,082221891960,,,7-7591712603,KLINIK TC,28/Apr/2017 00:00:00,AKTIF,"KLINIK PRATAMA DWIPAPURI,BANDUNG,INDONESIA",,"(0.0, 0.0, 0.0)",0.0,0.0
128,K00,BANDUNG SUCI ,K00,KANWIL JAWA BARAT,PPK-332113,CV. ORTONESIA,"JL. SEKEPANJANG 1 RT 002/010, CIKUTRA, CIBEUNYING KIDUL BANDUNG",,22.0,31294666,0817 9867560,,,7-7552399885,SENTRA ORTHOSE / PROTHOSE,28/Apr/2017 00:00:00,AKTIF,"CV. ORTONESIA,BANDUNG,INDONESIA",,"(0.0, 0.0, 0.0)",0.0,0.0
129,K00,BANDUNG SUCI ,K00,KANWIL JAWA BARAT,PPK-332115,KLINIK PRATAMA WALUYA SENTOSA,JL. RAYA RANCAEKEK-MAJALAYA NO 389 KAB BANDUNG,,,,0813 1315 8440,,,7-7552265332,KLINIK TC,28/Apr/2017 00:00:00,AKTIF,"KLINIK PRATAMA WALUYA SENTOSA,BANDUNG,INDONESIA",,"(0.0, 0.0, 0.0)",0.0,0.0
130,K12,BANDUNG SOEKARNO HATTA,K12,KANWIL JAWA BARAT,PPK-342630,PUSKESMAS MAJALAYA,JL STASIUN MAJALAYA NO 3,,,,,,,7-8817166106,KLINIK TC,,AKTIF,"PUSKESMAS MAJALAYA,BANDUNG,INDONESIA",,"(0.0, 0.0, 0.0)",0.0,0.0
131,K00,BANDUNG SUCI ,K00,KANWIL JAWA BARAT,PPK-321936,KLINIK PRATAMA KAHATEX,JL. RAYA RANCAEKEK KM26 NO 25 KAB SUMEDANG,,,,08122308750,,,7-7403576093,KLINIK TC,11/Apr/2017 00:00:00,AKTIF,"KLINIK PRATAMA KAHATEX,BANDUNG,INDONESIA",,"(0.0, 0.0, 0.0)",0.0,0.0
132,K15,BANDUNG LODAYA,K15,KANWIL JAWA BARAT,PPK-342606,PUSKESMAS PACET,JL. RAYA CAGAK NO. 1 DS. MARUYUNG PACET,,22.0,02285962177,,0225897521,0225897521,7-8817132014,KLINIK TC,,AKTIF,"PUSKESMAS PACET,BANDUNG,INDONESIA",,"(0.0, 0.0, 0.0)",0.0,0.0
133,K12,BANDUNG SOEKARNO HATTA,K12,KANWIL JAWA BARAT,PPK-342627,PUSKESMAS PASEH,JL CIPAKU RT02/08 DS CIPAKU,,,,,,,7-8816916188,KLINIK TC,,AKTIF,"PUSKESMAS PASEH,BANDUNG,INDONESIA",,"(0.0, 0.0, 0.0)",0.0,0.0
134,K12,BANDUNG SOEKARNO HATTA,K12,KANWIL JAWA BARAT,PPK-321444,RSUD MAJALAYA,JL RAYA CIPAKU NO.87 PASEH MAJALAYA,,,,08122471407,,,7-6942837917,RUMAH SAKIT TC,14/Mar/2017 00:00:00,AKTIF,"RSUD MAJALAYA,BANDUNG,INDONESIA",,"(0.0, 0.0, 0.0)",0.0,0.0
135,K15,BANDUNG LODAYA,K15,KANWIL JAWA BARAT,PPK-321209,RS MUHAMMADIYAH BANDUNG,JL. KH AHMAD DAHLAN NO 53 BANDUNG,,22.0,0227301062,081322858256,0227301062,0227301062,7-6864977417,RUMAH SAKIT TC,22/Feb/2017 00:00:00,AKTIF,"RS MUHAMMADIYAH BANDUNG,BANDUNG,INDONESIA","RS Muhammadiyah Bandung, Jalan KH. Ahmad Dahlan, Paledang, Jawa Barat, 40265, Indonesia","(-6.933424199999999, 107.62337374432688, 0.0)",-6.933424199999999,107.62337374432688
136,K15,BANDUNG LODAYA,K15,KANWIL JAWA BARAT,PPK-321207,KLINIK CASA MEDIKA,JL. PHH MUSTOPHA KOMP. SURAPATI CORE BLOK M27 PASIRLAYUNG,,22.0,87241345,082216147886,08882337160,08882337160,7-6848158006,KLINIK TC,22/Feb/2017 00:00:00,AKTIF,"KLINIK CASA MEDIKA,BANDUNG,INDONESIA","Klinik Global medika, 1, Jalan Perintis, Cimahi, Jawa Barat, 40151, Indonesia","(-6.8818506, 107.5748257, 0.0)",-6.8818506,107.5748257
137,K12,BANDUNG SOEKARNO HATTA,K12,KANWIL JAWA BARAT,PPK-321138,KLINIK GREEN CARE,JL CIPAMOKOLAN NO.22 BANDUNG,,,,085721821658,,,7-6776552872,KLINIK TC,13/Feb/2017 00:00:00,AKTIF,"KLINIK GREEN CARE,BANDUNG,INDONESIA",,"(0.0, 0.0, 0.0)",0.0,0.0
138,K00,BANDUNG SUCI ,K00,KANWIL JAWA BARAT,PPK-342675,OPTIK KIMIA FARMA 11 BANDUNG,JL. SUPRATMAN 72 BANDUNG,,,022 727 1413,0813 4276 3089,022 727 1413,022 727 1413,7-6650200086,OPTIK,24/Jul/2017 00:00:00,AKTIF,"OPTIK KIMIA FARMA 11 BANDUNG,BANDUNG,INDONESIA",,"(0.0, 0.0, 0.0)",0.0,0.0
139,K00,BANDUNG SUCI ,K00,KANWIL JAWA BARAT,PPK-342676,OPTIK KIMIA FARMA 43 BANDUNG,JL. BUAH BATU 259 BANDUNG,,,022.730 5019,,022.730 5019,022.730 5019,7-6649937475,OPTIK,24/Jul/2017 00:00:00,AKTIF,"OPTIK KIMIA FARMA 43 BANDUNG,BANDUNG,INDONESIA",,"(0.0, 0.0, 0.0)",0.0,0.0
