KODE_KANTOR,KANTOR_CABANG,KODE_KANWIL,KANWIL,KODE_PPK,NAMA_PPK,ALAMAT_PPK,KODE_POS_PPK,TELEPON_AREA_PPK,TELEPON_PPK,CONTACT_PERSON,TELEPON_PEMILIK,TELEPON_EXT_PEMILIK,NO_PPK,JENIS_FASKES,TGL_PPK,STATUS
K07,TASIKMALAYA,K07,KANWIL JAWA BARAT,PPK-512327,TC PKM GRT GARAWANGSA,KP SUKARATU DS SUKARATU,,,,08111111111,,,7-11329554225,KLINIK TC,28/Dec/2017 00:00:00,AKTIF
K07,TASIKMALAYA,K07,KANWIL JAWA BARAT,PPK-512318,TC PKM GRT CIMARAGAS,JL RAYA CIBATU KM 6,,,,08111111111,,,7-11329554223,KLINIK TC,28/Dec/2017 00:00:00,AKTIF
K07,TASIKMALAYA,K07,KANWIL JAWA BARAT,PPK-512369,TC PKM GRT WANARAJA,JL RAYA WANARAJA NO 30,,,,08111111111,,,7-11329554221,KLINIK TC,28/Dec/2017 00:00:00,AKTIF
K07,TASIKMALAYA,K07,KANWIL JAWA BARAT,PPK-512403,TC PKM GRT CEMPAKA,"CEMPAKA, GARUT",,,,08111111111,,,7-11329274529,KLINIK TC,,AKTIF
K07,TASIKMALAYA,K07,KANWIL JAWA BARAT,PPK-512331,TC PKM GRT KARANGMULYA,JL CIBANGBAN KEC KARANGPAWITAN,,,,08111111111,,,7-11329274527,KLINIK TC,28/Dec/2017 00:00:00,AKTIF
K07,TASIKMALAYA,K07,KANWIL JAWA BARAT,PPK-512332,TC PKM GRT KARANGPAWITAN,JL RAYA KARANGPAWITAN,,,,08111111111,,,7-11329274525,KLINIK TC,28/Dec/2017 00:00:00,AKTIF
K07,TASIKMALAYA,K07,KANWIL JAWA BARAT,PPK-512349,TC PKM GRT PASUNDAN,JL PASUNDAN NO 104 GARUT KOTA,,,,08111111111,,,7-11329274523,KLINIK TC,28/Dec/2017 00:00:00,AKTIF
J14,JAKARTA CILINCING,J14,KANWIL DKI JAKARTA,PPK-512432,KLINIK PRATAMA SISMA MEDIKAL SEMPER,JL KESEMEK NO.5 RT 11/14 KEL.SEMPER BARAT KEC CILINCING JAKARTA UTARA,,,,082112676504,,,7-11329148615,KLINIK TC,01/Jan/2018 00:00:00,AKTIF
D03,DUMAI,D03,KANWIL SUMBARRIAU,PPK-512197,PKM TELUK BELITUNG,JL KAMBOJA TELUK BELITUNG KEC MERBAU,,,,0813_71696399,,,7-11327647201,KLINIK TC,22/Dec/2017 00:00:00,AKTIF
D03,DUMAI,D03,KANWIL SUMBARRIAU,PPK-512198,PKM ANAK SETATAH,JL UTAMA ANAK SETATAH,,,,0852_65811769,,,7-11327455910,KLINIK TC,,AKTIF
K16,BOGOR CILEUNGSI  ,K16,KANWIL JAWA BARAT,PPK-512192,PUSKESMAS GANDOANG,"JL. RAYA CILEUNGSI JONGGOL, DESA GANDOANG, CILEUNGSI, GANDOANG, CILEUNGSI, BOGOR, JAWA BARAT",,,,081111111111,(021) 8232335,(021) 8232335,7-11327347726,KLINIK TC,,AKTIF
D03,DUMAI,D03,KANWIL SUMBARRIAU,PPK-512199,PKM BANDUL,"JL. BANDUL, KEC. TASIK PUTRI PUYU.",,,,0852_90692222,,,7-11327287509,KLINIK TC,,AKTIF
K16,BOGOR CILEUNGSI  ,K16,KANWIL JAWA BARAT,PPK-512193,PUSKESMAS CILEUNGSI,"JL. RAYA NAROGONG NO.654, CILEUNGSI, BOGOR, JAWA BARAT",,,,085888327786,(021) 8230348,(021) 8230348,7-11327156415,KLINIK TC,,AKTIF
D03,DUMAI,D03,KANWIL SUMBARRIAU,PPK-512200,PKM ALAI,"PELABUHAN, KEC. TEBING TINGGI BARAT",,,,0812_60509941,,,7-11327040098,KLINIK TC,,AKTIF
N00,SURABAYA KARIMUNJAWA,N00,KANWIL JATIM,PPK-512291,KLINIK PRATAMA SUTEDI SENAPUTRA,JL. KSATRIA NO.28  RT 01/ RW 01/ KARANGPILANG  SURABAYA,,,,08123149901,,,7-11326485855,KLINIK TC,,AKTIF
K16,BOGOR CILEUNGSI  ,K16,KANWIL JAWA BARAT,PPK-512195,PUSKESMAS CIANGSANA,"KAMPUNG CIKEAS HILIT, RT 5/RW 3, CIANGSANA, GUNUNG PUTRI, CIANGSANA, GN. PUTRI, BOGOR, JAWA BARAT 16968",,,,082112068786,(021) 84932176,(021) 84932176,7-11326939454,KLINIK TC,,AKTIF
D03,DUMAI,D03,KANWIL SUMBARRIAU,PPK-512190,PKM TANJUNG SAMAK,JL JEND SUDIRMAN TANJUNG SAMAK,,,,0813_61336336,,,7-11324438977,KLINIK TC,,AKTIF
K16,BOGOR CILEUNGSI  ,K16,KANWIL JAWA BARAT,PPK-512196,PUSKESMAS CARIU,"JL. BRIGADIR JENDERAL DARSONO NO.13, CARIU, BOGOR, JAWA BARAT 16840",,,,081111111111,(021) 89960941,(021) 89960941,7-11326622783,KLINIK TC,,AKTIF
N00,SURABAYA KARIMUNJAWA,N00,KANWIL JATIM,PPK-512292,BP KLINIK PRATAMA R. SUHADI,JL. JUANDA NO. 2 GEDANGAN SIDOARJO,,,,08123149901,,,7-11326485853,KLINIK TC,,AKTIF
K16,BOGOR CILEUNGSI  ,K16,KANWIL JAWA BARAT,PPK-512189,PUSKESMAS BOJONG NANGKA,"JL. RIVERSIDE GOLF CLUB, DESA BOJONG NANGKA, GUNUNG NANGKA, BOJONG NANGKA, GN. PUTRI, BOGOR, JAWA BARAT 16963",,,,08161983225,(021) 8672440,(021) 8672440,7-11325894942,KLINIK TC,,AKTIF
K11,CIMAHI,K11,KANWIL JAWA BARAT,9288,KLINIK CAHAYA BUNDA,JL PASIR KEMIRI BLOK A NO. 2 RT01 RW18 DS CIGUGUR GIRANG KEC PARONGPONG,1-DNH-8764,022,0222006554,083820435877,0222006554,0222006554,1500000001616,KLINIK TC,31/May/2015 17:00:00,AKTIF
K01,BEKASI KOTA,K01,KANWIL JAWA BARAT,PPK-512283,KLINIK MEDIKA MULIA BEKASI,JL. A. YANI KOMPLEK RUKO MUTIARA BEKASI CENTER BLOK A NO 1 RT 009/012 KAYURINGIN JAYA BEKASI SELATAN,,021,88963701,087878810228,,,7-11324424073,KLINIK TC,27/Dec/2017 00:00:00,AKTIF
N00,SURABAYA KARIMUNJAWA,N00,KANWIL JATIM,PPK-491985,KLINIK CITRA HUSADA,PERUM CITRA GARDEN CLUSTER MELROSE PLACE A1-3 ENTALSEWU BUDURAN SIDOARJO,,031,031 8073002,082131422282,031 8073002,031 8073002,7-10869947923,KLINIK TC,,AKTIF
K07,TASIKMALAYA,K07,KANWIL JAWA BARAT,PPK-512328,TC PKM GRT GUNTUR,JL GUNTUR NO.171 DS KOTA WETAN KEC GARUT KOTA,,,,08111111111,,,7-11322152355,KLINIK TC,28/Dec/2017 00:00:00,AKTIF
A01,BANDA ACEH ,A01,KANWIL SUMBAGUT,PPK-512186,KLINIK KHANSA,JL. LAKSAMANA MALAHAYATI KM. 8 GP. KAJHU KECAMATAN BAITUSSALAM KABUPATEN ACEH BESAR,,,,082272213130,,,7-11322391263,KLINIK TC,,AKTIF
K07,TASIKMALAYA,K07,KANWIL JAWA BARAT,PPK-512365,TC PKM GRT SULIWANGI,JL. SILIWANGI NO. 13,,,,08111111111,,,7-11322152353,KLINIK TC,28/Dec/2017 00:00:00,AKTIF
C01,BUKIT TINGGI,C01,KANWIL SUMBARRIAU,PPK-512185,PUSKESMAS AIA GADANG,"NAGARI AIA GADANG, KEC. PASAMAN KAB. PASAMAN BARAT",,,,085264170477,,,7-11317157760,KLINIK TC,,AKTIF
C01,BUKIT TINGGI,C01,KANWIL SUMBARRIAU,PPK-512184,PUSKESMAS VI KOTO SELATAN,KEC. KINALI KAB. PASAMAN BARAT,,,,081363029999,,,7-11317116949,KLINIK TC,,AKTIF
C01,BUKIT TINGGI,C01,KANWIL SUMBARRIAU,PPK-512183,PUSKESMAS RANAH SALIDO,DS. RANAH SALIDO KEC. LEMBAH MELINTANG KAB. PASAMAN BARAT,,,,081397320047,,,7-11317057898,KLINIK TC,,AKTIF
C01,BUKIT TINGGI,C01,KANWIL SUMBARRIAU,PPK-512182,PUSKESMAS KINALI,"JL. ABDUL MUIS, KEC. KINALI KAB. PASAMAN BARAT",,,,082170114848,,,7-11317024097,KLINIK TC,,AKTIF
C01,BUKIT TINGGI,C01,KANWIL SUMBARRIAU,PPK-512181,PUSKESMAS IV KOTO,DS. IV KOTO KEC. KINALI KAB. PASAMAN BARAT,,,,082387050000,,,7-11316983646,KLINIK TC,,AKTIF
C01,BUKIT TINGGI,C01,KANWIL SUMBARRIAU,PPK-512180,PUSKESMAS OPHIR,"DS. OPHIR, KEC. PASAMAN KAB. PASAMAN BARAT",,,,081374863069,,,7-11316912215,KLINIK TC,,AKTIF
C01,BUKIT TINGGI,C01,KANWIL SUMBARRIAU,PPK-512179,PUSKESMAS SASAK,"JL. RAYA PADANG HALABAN SASAK, KEC. PASAMAN KAB. PASAMAN BARAT",,,,082170388251,,,7-11316911894,KLINIK TC,,AKTIF
C01,BUKIT TINGGI,C01,KANWIL SUMBARRIAU,PPK-512178,PUSKESMAS SUKAMENANTI,"JL. GUGUK III PADANG TUJUH, KEC. PASAMAN KAB. PASAMAN BARAT",,,,08116607005,,,7-11316868943,KLINIK TC,,AKTIF
C01,BUKIT TINGGI,C01,KANWIL SUMBARRIAU,PPK-512177,PUSKESMAS LEMBAH BINUANG,"DS. LEMBAH BINUANG, KEC. PASAMAN KAB. PASAMAN BARAT",,,,085274566072,,,7-11316769833,KLINIK TC,,AKTIF
C01,BUKIT TINGGI,C01,KANWIL SUMBARRIAU,PPK-512166,PUSKESMAS KAJAI,"DS. KAJAI, KEC. TALAMAU KAB. PASAMAN BARAT",,,,085363899900,,,7-11316656102,KLINIK TC,,AKTIF
C01,BUKIT TINGGI,C01,KANWIL SUMBARRIAU,PPK-512167,PUSKESMAS TALU,"DS. TALU, KEC. TALAMAU KAB. PASAMAN BARAT",,,,081374736690,,,7-11316625951,KLINIK TC,,AKTIF
K04,TANGERANG CIKOKOL ,K04,KANWIL BANTEN,PPK-343051,KLINIK CITRA HUSADA,JL. DEWI SARTIKA RT 001/005  NO. 2,,,0215589487,081210258898,0215589487,0215589487,7-9254165463,KLINIK TC,,AKTIF
C01,BUKIT TINGGI,C01,KANWIL SUMBARRIAU,PPK-512169,PUSKESMAS MUARA KIAWAI,"JL. SUDIRMAN MUARO KAWAI, KEC. GUNUNG TULEH KAB. PASAMAN BARAT",,,,085274566072,,,7-11316482319,KLINIK TC,,AKTIF
C01,BUKIT TINGGI,C01,KANWIL SUMBARRIAU,PPK-512170,PUSKESMAS PARAMAN AMPALU,"JL. PARAMAN AMPALU, KEC. GUNUNG TULEH KAB. PASAMAN BARAT",,,,085278667465,,,7-11316411308,KLINIK TC,,AKTIF
C01,BUKIT TINGGI,C01,KANWIL SUMBARRIAU,PPK-512171,PUSKESMAS SUNGAI AUR,"JL. RAYA SIMPANG EMPAT ¿ UJUNG GADING, KEC. LEMBAH MELINTANG KAB. PASAMAN BARAT",,,,081363773308,,,7-11316343557,KLINIK TC,,AKTIF
C01,BUKIT TINGGI,C01,KANWIL SUMBARRIAU,PPK-512172,PUSKESMAS UJUNG GADING,"JL. HALMAHERA UJUNG GADING, KEC. LEMBAH MELINTANG KAB. PASAMAN BARAT",,,,,,,7-11316298886,KLINIK TC,,AKTIF
C01,BUKIT TINGGI,C01,KANWIL SUMBARRIAU,PPK-512173,PUSKESMAS PARIT,"JL. LINTAS AIR BANGIS ¿ UJUNG GADING KM 40, KEC. TALAMAU KAB. PASAMAN BARAT",,,,085376184393,,,7-11316198665,KLINIK TC,,AKTIF
C01,BUKIT TINGGI,C01,KANWIL SUMBARRIAU,PPK-512174,PUSKESMAS SILAPING,"JL. SENOPATI NO. 105, KEC. SEI BEREMAS KAB. PASAMAN BARAT",,,,081374857411,,,7-11316092944,KLINIK TC,,AKTIF
C01,BUKIT TINGGI,C01,KANWIL SUMBARRIAU,PPK-512175,PUSKESMAS DESA BARU,"DS. BARU, KEC. RANAH BATAHAN KAB. PASAMAN BARAT",,,,081375155420,,,7-11315876773,KLINIK TC,,AKTIF
C01,BUKIT TINGGI,C01,KANWIL SUMBARRIAU,PPK-512176,PUSKESMAS AIR BANGIH,"JL. GAJAH MADA AIR BANGIS, KEC. SEI BEREMAS KAB. PASAMAN BARAT",,,,085263839143,,,7-11315008923,KLINIK TC,,AKTIF
L04,PEKALONGAN,L04,KANWIL JATENG DAN DIY,PPK-512153,PUSKESMAS RANDUDONGKAL,"JLN BUDI UTOMO, RANDUDONGKAL",,0284,0284584312,0284584312,0284584312,0284584312,7-11313591023,KLINIK TC,,AKTIF
J10,JAKARTA PLUIT,J10,KANWIL DKI JAKARTA,PPK-492087,KLINIK CITRA MEDIKA,JL. KH MAS MANSYUR NO 60 KB. MELATI TANAH ABANG,,021,22391255,08811303924,80886446,80886446,7-10881120215,KLINIK TC,01/Dec/2017 00:00:00,AKTIF
L04,PEKALONGAN,L04,KANWIL JATENG DAN DIY,PPK-512164,PUSKESMAS WATUKUMPUL,JL RAYA WATUKUMPUL NO 68,,0000,08126773823,08126773823,08126773823,08126773823,7-11313440955,KLINIK TC,22/Dec/2017 00:00:00,AKTIF
L04,PEKALONGAN,L04,KANWIL JATENG DAN DIY,PPK-512150,PUSKESMAS KEBANDARAN,"JL RAYA KEBANDARAN, ODEH, KAB PEMALANG",,0284,0284582065,08164887321,DR ABDURAHMAN,DR ABDURAHMAN,7-11313390861,KLINIK TC,,AKTIF
L04,PEKALONGAN,L04,KANWIL JATENG DAN DIY,PPK-512163,PUSKESMAS WARUNGPRING,JL RAYA WARUNGPRING,,0284,02843285266,02843285266,02843285266,02843285266,7-11313356984,KLINIK TC,22/Dec/2017 00:00:00,AKTIF
L04,PEKALONGAN,L04,KANWIL JATENG DAN DIY,PPK-512162,PUSKESMAS SARWODADI,JL PELITA 1 SARWODADI COMAL PEMALANG,,0285,02857927556,02857927556,02857927556,02857927556,7-11313108403,KLINIK TC,22/Dec/2017 00:00:00,AKTIF
L04,PEKALONGAN,L04,KANWIL JATENG DAN DIY,PPK-512149,PUSKESMAS KALIMAS,JL KALIMAS KAB PEMALANG,,0284,0284582065,0284582065,0284582065,0284582065,7-11313215220,KLINIK TC,,AKTIF
L04,PEKALONGAN,L04,KANWIL JATENG DAN DIY,PPK-512148,PUSKESMAS KABUNAN,JL WORA WIRI NO 3 DS KABUNAN,,0284,0284323307,0284323307,0284323307,0284323307,7-11313109529,KLINIK TC,,AKTIF
L10,UNGARAN,L10,KANWIL JATENG DAN DIY,PPK-491879,KLINIK CITRA MEDIKA,JL PATIMURA NO.99 B SALATIGA,,0298,0298-313508,085641166767,0298-313508,0298-313508,7-10744994885,KLINIK TC,,AKTIF
L04,PEKALONGAN,L04,KANWIL JATENG DAN DIY,PPK-512134,PUSKESMAS JEBED,JL RAYA JEBED SELATAN,,0284,02845800082,02845800082,02845800082,02845800082,7-11312986058,KLINIK TC,,AKTIF
K07,TASIKMALAYA,K07,KANWIL JAWA BARAT,PPK-512136,TC KLINIK CMS BAKTI INSAN MEDIKA,DSN BOJONG ANYAR RT 04//01 BANJARSARI,,,,,,,7-11312932889,KLINIK TC,,AKTIF
K17,TANGERANG CIMONE  ,K17,KANWIL BANTEN,PPK-461975,KLINIK CITRA MEDIKA,"GATOT SUBROTO KM 4,5 RUKO JATI BARU NO 64 RT 002 RW 001 KEL SANGIANG JAYA KEC JATIUWUNG KOTA TANGERANG",,021,02155657742,081280607125,02155657742,02155657742,7-10365603557,KLINIK TC,,AKTIF
L04,PEKALONGAN,L04,KANWIL JATENG DAN DIY,PPK-512133,PUSKESMAS BELIK,JL RAYA BELIK WATUKUMPUL,,0284,02843285533,02843285533,02843285533,02843285533,7-11312863027,KLINIK TC,,AKTIF
K07,TASIKMALAYA,K07,KANWIL JAWA BARAT,PPK-512129,TC KLINIK CMS ALIKSA MEDIKA,DSN SUKANAGARA RT 01/01 DS SUKANAGARA KEC LAKBOK,,,,08111111111,,,7-11312767248,KLINIK TC,,AKTIF
B05,MEDAN UTARA,B05,KANWIL SUMBAGUT,7084,KLINIK CITRA MEDIKA,JL.PLATINA RAYA NO.58 MEDAN,1-DNH-4863,,061685999,085207189869,08126079884,08126079884,1400000000331,KLINIK TC,01/May/2014 17:00:00,AKTIF
L04,PEKALONGAN,L04,KANWIL JATENG DAN DIY,PPK-512158,PUSKESMAS PETARUKAN,JL PANTURA NO 666 PETARUKAN,,0284,02845800321,02845800321,02845800321,02845800321,7-11312755817,KLINIK TC,22/Dec/2017 00:00:00,AKTIF
L04,PEKALONGAN,L04,KANWIL JATENG DAN DIY,PPK-512135,PUSKESMAS BANYUMUDAL,DS. BANYUMUDAL,,0284,02843583118,02843583118,02843583118,02843583118,7-11312709856,KLINIK TC,,AKTIF
K07,TASIKMALAYA,K07,KANWIL JAWA BARAT,PPK-512130,TC KLINIK CMS WIDAYA MEDIKA,DSN SUKAJADI RT 08/02 DS SUKAJADI KEC PAMARICAN,,,,08111111111,,,7-11312679267,KLINIK TC,,AKTIF
L04,PEKALONGAN,L04,KANWIL JATENG DAN DIY,PPK-512157,PUSKESMAS PADURAKSA,JL LETNAN JENDERAL PANJAITAN PADURAKSA PEMALANG,,0284,0284321526,0284321526,0284321526,0284321526,7-11312387846,KLINIK TC,22/Dec/2017 00:00:00,AKTIF
K07,TASIKMALAYA,K07,KANWIL JAWA BARAT,PPK-512131,TC KLINIK CMS SEJAHTERA,DSN KELAPAGADA RT RW 2604 DS KELAPAGADA KEC LAKBOK,,,,,,,7-11312557856,KLINIK TC,,AKTIF
K07,TASIKMALAYA,K07,KANWIL JAWA BARAT,PPK-512132,TC KLINIK CMS PARIS MEDIKA,DSN CISAPAR RT RW 02/01 DS CISAPAR KEC BANJARSARI,,,,08111111111,,,7-11311402985,KLINIK TC,,AKTIF
L04,PEKALONGAN,L04,KANWIL JATENG DAN DIY,PPK-512137,PUSKESMAS BANTARBOLANG,JL RAYA BANTARBOLANG NO 170 DS BANTARBOLANG,,0284,028432777273,0811261398,028432777273,028432777273,7-11312420095,KLINIK TC,,AKTIF
L04,PEKALONGAN,L04,KANWIL JATENG DAN DIY,PPK-512156,PUSKESMAS MOJO,JL PTP NUSANTARA IX MOJO ULUJAMI,,0285,02854474301,02854474301,02854474301,02854474301,7-11312278823,KLINIK TC,22/Dec/2017 00:00:00,AKTIF
L04,PEKALONGAN,L04,KANWIL JATENG DAN DIY,PPK-512138,PUSKESMAS BANJARDAWA,JL PIERE TENDEAN NO 1 BANJARDAWA,,0284,02843277727,02843277727,02843277727,02843277727,7-11312259834,KLINIK TC,,AKTIF
L04,PEKALONGAN,L04,KANWIL JATENG DAN DIY,PPK-512155,PUSKESMAS LOSARI,DS LOSARI JL LOSARI,,0285,02854473472,02854473472,02854473472,02854473472,7-11312117182,KLINIK TC,22/Dec/2017 00:00:00,AKTIF
K07,TASIKMALAYA,K07,KANWIL JAWA BARAT,PPK-512122,TC KLINIK CMS BUDI MULYA JL SUDARSO,JL RAYA SUDARSO NO 109 CIAMIS KEC CIAMIS,,,,012345678910,,,7-11312018326,KLINIK TC,,AKTIF
L04,PEKALONGAN,L04,KANWIL JATENG DAN DIY,PPK-512128,PUSKESMAS MULYOHARJO,JL VETERAN NO 277 MULYOHARJO,,0284,0284326033,0284326033,0284326033,0284326033,7-11312024733,KLINIK TC,,AKTIF
K07,TASIKMALAYA,K07,KANWIL JAWA BARAT,PPK-512119,TC KLINIK CMS MUTIARA HATI,JL RAYBA SINDANGKASIH NO 65 DUSUN ANCOL I RT RW 01/01 KEC SINDANGKASIH,,,,012345678910,,,7-11311931185,KLINIK TC,,AKTIF
K07,TASIKMALAYA,K07,KANWIL JAWA BARAT,PPK-512114,TC KLINIK CMS MITRA DELIMA,DUSUN KERTANARJA RT RW 14/03 DESA SUKAMUKTI KEC PAMARICAN,,,,012345678910,,,7-11311818734,KLINIK TC,,AKTIF
L04,PEKALONGAN,L04,KANWIL JATENG DAN DIY,PPK-512154,PUSKESMAS  KLAREYAN,JALAN RAYA KARANG DEMPEL PETARUKAN PEMALANG,,0284,02845800321,02845800321,02845800321,02845800321,7-11311809261,KLINIK TC,22/Dec/2017 00:00:00,AKTIF
K07,TASIKMALAYA,K07,KANWIL JAWA BARAT,PPK-512111,TC KLINIK CMS BINA HUSADA,DUSUN GONDASARI RT RW 09/05 DESA GUNUNG CUPU KEC SINDANGKASIH,,,,012345678910,,,7-11311735683,KLINIK TC,,AKTIF
K07,TASIKMALAYA,K07,KANWIL JAWA BARAT,PPK-512112,TC KLINIK CMS  (DOBEL) AMAL BAKTI,DUSUN CISAOR RT RW 19/03 DESA KERTAHAYU KEC PAMARICAN,,,,012345678910,,,7-11311656332,KLINIK TC,,AKTIF
K07,TASIKMALAYA,K07,KANWIL JAWA BARAT,PPK-512113,TC KLINIK CMS HIBAN NUR MEDIKA PAMARICAN,DUSUN PAMARICAN RT 01/03 DESA PAMARICAN KEC PAMARICAN,,,,012345678910,,,7-11311537541,KLINIK TC,,AKTIF
K07,TASIKMALAYA,K07,KANWIL JAWA BARAT,PPK-512115,TC KLINIK CMS MITRA KELUARGA,DUSUN CIAWITAH RT RW 05/02 DESA PURWADADI KEC PURWADADI,,,,012345678910,,,7-11311480100,KLINIK TC,,AKTIF
K07,TASIKMALAYA,K07,KANWIL JAWA BARAT,PPK-512116,TC KLINIK CMS AL KHOIROT PRATAMA,DUSUN WANAJASA RT RW 03/01 DESA CIBADAK KEC BANJARSARI,,,,012345678910,,,7-11311410879,KLINIK TC,,AKTIF
K07,TASIKMALAYA,K07,KANWIL JAWA BARAT,PPK-512118,TC KLINIK CMS HIBAN NUR MEDIKA PURWADADI,DUSUN KARANGPANINGGAL RT RW 021/005 DESA KARANGPANINGGAL KEC PURWADADI,,,,012345678910,,,7-11311297188,KLINIK TC,,AKTIF
K07,TASIKMALAYA,K07,KANWIL JAWA BARAT,PPK-512120,TC KLINIK CMS AMANDA PRATAMA,DUSUN PENGKOLAN RT RW 18/06 DESA SINDANGKASIH,,,,012345678910,,,7-11311250737,KLINIK TC,,AKTIF
K07,TASIKMALAYA,K07,KANWIL JAWA BARAT,PPK-512117,TC KLINIK CMS SURYA MAJU UTAMA,DSN LUMBUNGSARI RT RW 16/04 DS PAMARICAN KEC PAMARICAN,,,,08111111111,,,7-11311147622,KLINIK TC,,AKTIF
K07,TASIKMALAYA,K07,KANWIL JAWA BARAT,PPK-512121,TC KLINIK CMS SETIA DHARMA,DUSUN RANCAH GIRANG RT RW 004/002 DESA RANCAH KEC RANCAH KAB CIAMIS,,,,012345678910,,,7-11311179776,KLINIK TC,,AKTIF
K07,TASIKMALAYA,K07,KANWIL JAWA BARAT,PPK-512123,TC KLINIK CMS PURWA SEHAT,DUSUN HARJAMUKTI RT RW 001/002 DESA CISONTROL KEC RANCAH,,,,012345678910,,,7-11310816195,KLINIK TC,,AKTIF
K07,TASIKMALAYA,K07,KANWIL JAWA BARAT,PPK-512124,TC KLINIK CMS POLRES PRATAMA,LINK CIBEUREUM RT 03/06 DS SINDANGRASA KEC CIAMIS,,,,08111111111,,,7-11310888101,KLINIK TC,,AKTIF
K07,TASIKMALAYA,K07,KANWIL JAWA BARAT,PPK-512125,TC KLINIK CMS AZZAHRA,DSN KADAWANG RT 10/02 DS SIDAHARJA KEC LAKBOK,,,,08111111111,,,7-11310699220,KLINIK TC,,AKTIF
K07,TASIKMALAYA,K07,KANWIL JAWA BARAT,PPK-512127,TC KLINIK CMS MISFALAH PRATAMA,DUSUN CIHERAS RT RW 009/011 DS SALACAI KEC CIPAKU KAB CIAMIS,,,,012345678910,,,7-11310409333,KLINIK TC,,AKTIF
K07,TASIKMALAYA,K07,KANWIL JAWA BARAT,PPK-512126,TC KLINIK CMS AD DAWA PRATAMA,DSN PASARSAPTU RT 01/06 DS CIKONENG KEC CIKONENG,,,,08111111111,,,7-11310231549,KLINIK TC,,AKTIF
K07,TASIKMALAYA,K07,KANWIL JAWA BARAT,PPK-512107,TC KLINIK CMS AMAL BAKTI,DSN CISAAR RT RW 09/03 DS KERTAHAYU KEC PAMARICAN,,,,08111111111,,,7-11310139048,KLINIK TC,,AKTIF
K07,TASIKMALAYA,K07,KANWIL JAWA BARAT,PPK-512108,TC KLINIK CMS KHASANAH,DSN WARUDOYONG RT 02/04 DS SINDANGHERANG KEC PANUMBANGAN,,,,08111111111,,,7-11309884057,KLINIK TC,,AKTIF
K07,TASIKMALAYA,K07,KANWIL JAWA BARAT,PPK-512106,TC KLINIK CMS CISAGA 27,DSN CISAGA RT 01/01 DS CISAGA KEC CISAGA,,,,,,,7-11309751126,KLINIK TC,,AKTIF
B00,MEDAN KOTA ,B00,KANWIL SUMBAGUT,PPK-512109,BALAI PENGOBATAN ZAFIRA,JL NGUMBAN SURBAKTI NO 100 TJ SARI,,061,80047605,08126079884,04572324,04572324,7-11309608404,KLINIK TC,,AKTIF
K07,TASIKMALAYA,K07,KANWIL JAWA BARAT,PPK-512104,TC KLINIK CMS RIZKA RIZKI (R2),DSN BOJONG RT 04/07 DS SUKAMULYA KEC CIHAURBEUTI,,,,08111111111,,,7-11309615655,KLINIK TC,,AKTIF
L04,PEKALONGAN,L04,KANWIL JATENG DAN DIY,PPK-512165,RSUD KAJEN KAB PEKALONGAN,JL RAYA KARANGSARI KEC KARANGANYAR,,0285,0285385231,085727505088,0285385231,0285385231,7-11309356493,RUMAH SAKIT TC,22/Dec/2017 00:00:00,AKTIF
K07,TASIKMALAYA,K07,KANWIL JAWA BARAT,PPK-512105,TC KLINIK CMS SINARASA NGAYUGA BALAREA,DSN CIEURIH RT 11/05 DS CIOMAS KEC PANJALU,,,,08111111111,,,7-11309319504,KLINIK TC,,AKTIF
B00,MEDAN KOTA ,B00,KANWIL SUMBAGUT,PPK-512110,KLINIK PRATAMA CITRA MEDIKA 3,DSN XII LIMAU MANIS TJ MORAWA,,061,80047605,08126079884,04572324,04572324,7-11309379663,KLINIK TC,,AKTIF
K07,TASIKMALAYA,K07,KANWIL JAWA BARAT,PPK-512103,TC KLINIK CMS ZAMZAM PRATAMA,DSN DEPOK RT 01/04 DS SUKAJADI KEC SADANANYA,,,,08111111111,,,7-11309189613,KLINIK TC,,AKTIF
K07,TASIKMALAYA,K07,KANWIL JAWA BARAT,PPK-512102,TC KLINIK CMS CAHAYA MEDIKA PANJALU,DSN PABEASAN RT 06/03 DS PANJALU KEC PANJALU,,,,08111111111,,,7-11308753394,KLINIK TC,,AKTIF
K07,TASIKMALAYA,K07,KANWIL JAWA BARAT,PPK-512101,TC KLINIK CMS PAMARICAN MITRA MEDIKA,DSN PAMARICAN RT 01/01 DS PAMARICAN KEC PAMARICAN,,,,081111111,,,7-11308549763,KLINIK TC,,AKTIF
K07,TASIKMALAYA,K07,KANWIL JAWA BARAT,PPK-512097,TC KLINIK CMS MEDICAL GUNUNG JATI,DSN KARANGANYAR RT 15/10 DS KARYAMUKTI KEC BANJARANYAR,,,,08111111111,,,7-11307010254,KLINIK TC,,AKTIF
K07,TASIKMALAYA,K07,KANWIL JAWA BARAT,PPK-512098,TC KLINIK CMS PRIMA HUSADA,DSN AWISARIRT 01/07 DS CIKONENG KEC CIKONENG,,,,08111111111,,,7-11307009613,KLINIK TC,,AKTIF
K07,TASIKMALAYA,K07,KANWIL JAWA BARAT,PPK-512099,TC KLINIK CMS HARAPAN BUNDA UTAMA,JL IR H JUANDA NO 327 LINK SIKURAJA RT 02/10 KEL LINGGASARI KEC CIAMIS,,,,,,,7-11306917102,KLINIK TC,,AKTIF
